เลขบัญชี,ชื่อบัญชี,รหัสลูกค้า,จำนวน,ปริมาณ,เลขที่เอกสาร,code,ชื่อผู้ขาย,รายละเอียด,รหัส,ชื่อ,เลขที่ใบกำกับ,codeid,วันที่,comment,predpt_name,vchno,vchdate,costcode,DR_amt,CR_amt
5100001,ค่าผลิตและค่าอุปกรณ์,A6702021,10,445.79,QT21120038,2165.0,คุณ ภัทร์ รุจิรัตนากุล," ค่าเทปใส,กาวร้อน",2021A67,คุณ ภัทร์ รุจิรัตนากุล,OF220100053,2165.0,04-01-22,,Eucerin Packing @ Tesco,APO2022010062,44565,C100008,445.79,0
5100001,ค่าผลิตและค่าอุปกรณ์,A8002021,13,112.15,QT21110080.2,2165.0,คุณ ภัทร์ รุจิรัตนากุล, ,2021A80,คุณ ภัทร์ รุจิรัตนากุล,OF220100054,2165.0,04-01-22,,Foremost Booth at 7-11 New Year Party,APS2022010011,44578,C100008,4200,0
5100001,ค่าผลิตและค่าอุปกรณ์,A8002021,13,616.82,QT21110080.2,2165.0,คุณ ภัทร์ รุจิรัตนากุล, ,2021A80,คุณ ภัทร์ รุจิรัตนากุล,OF220100054,2165.0,04-01-22,,KOE Tipco 1-20 Jan 22,APO2022010099,44581,C100008,518.69,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5002021,2,424.3,QT21120013,1520.0,คุณ ธนพงษ์ พิสุทธิธนากร, ,2021A50,คุณ ธนพงษ์ พิสุทธิธนากร,OF220100040,1520.0,06-01-22,,KOE Tipco 1-20 Jan 22,APO2022010099,44581,C100008,23.36,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5002021,2,200.93,QT21120013,1520.0,คุณ ธนพงษ์ พิสุทธิธนากร, ,2021A50,คุณ ธนพงษ์ พิสุทธิธนากร,OF220100040,1520.0,06-01-22,,KOE Tipco 1-20 Jan 22,APO2022010100,44581,C100008,29.91,0
5100001,ค่าผลิตและค่าอุปกรณ์,A2402021,2,1000.0,QT21110052,2250.0,คุณ เอกชัย แก้วสุขศรี, ค่าผลิตสปอตโฆษณา ส่งมอบงานวันที่ 22/12/2564 #JV2021120033,2021A24,คุณ เอกชัย แก้วสุขศรี,WO2021120081,2250.0,12-01-22,ค่าบริการ-,KOE Tipco 1-20 Jan 22,APO2022010100,44581,C100008,469.16,0
5100001,ค่าผลิตและค่าอุปกรณ์,A2402021,2,-1000.0,QT21110052,2250.0,คุณ เอกชัย แก้วสุขศรี,,2021A24,,,,,,KOE Tipco 1-20 Jan 22,APO2022010101,44581,C100008,336.45,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5102021,2,4200.0,QT21120022,2329.0,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  , ค่าผลิตเค้าเตอร์ชงชิม ส่งมอบงานวันที่ 28/12/64 #JV2021120033,2021A51,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  ,WO2021120078,2329.0,04-02-22,ค่าผลิตบูธ,KOE Tipco 1-20 Jan 22,APO2022010102,44581,C100008,93.46,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5102021,2,490.0,QT21120022,2329.0,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  , ค่าผลิตเค้าเตอร์ชงชิม ส่งมอบงานวันที่ 28/12/64 #JV2021120033,2021A51,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  ,WO2021120078,2329.0,04-02-22,อุปกรณ์-unit,KOE Tipco 1-20 Jan 22,APO2022010103,44581,C100008,4441,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5102021,2,200.0,QT21120022,2329.0,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  , ค่าปรู๊ฟสีบูธชงชิม ส่งมอบงานวันที่ 28/12/2564 #JV2021120033,2021A51,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  ,WO2021120099,2329.0,04-02-22,ค่าส่งของ/ไปรษณีย์,KOE Tipco 1-20 Jan 22,APO2022010104,44581,C100008,373.83,0
